,Title,Suggested Duration,Address,Ratings,Transport
163,Woman in Black,Suggested Duration Not Available,"Fortune Theatre, London England",Ratings Not Available,"['Covent Garden', 'Holborn', 'Rental Cars']"
164,Ambassadors Theatre,Suggested Duration Not Available,"West Street, London WC2H 9ND England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
165,The Vaults,Suggested Duration:1-2 hours,"Arch 236 Leake Street, London SE1 7NN England",4,"['Waterloo', 'Southwark', 'Rental Cars']"
166,Kiln Theatre,Suggested Duration Not Available,"269 Kilburn High Road, London NW6 7JR England",4.5,"['Brondesbury', 'Kilburn', 'Rental Cars']"
167,Arcola Theatre,Suggested Duration Not Available,"27 Arcola Street, London E8 2DJ England",Ratings Not Available,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
168,Comedy East,Suggested Duration:1-2 hours,"1 Mile End Road, London E1 4TP England",5,"['Whitechapel', 'Stepney Green', 'Rental Cars']"
169,Nell's Jazz and Blues,Suggested Duration Not Available,"3 North End Crescent, London W14 8TG England",Ratings Not Available,"['West Kensington', 'Barons Court', 'Rental Cars']"
170,Jermyn Street Theatre,Suggested Duration Not Available,"16B Jermyn Street, London SW1Y 6ST England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
171,EVE - Riot Grrrls of Wrestling,Suggested Duration:More than 3 hours,"265 Poyser St, London E2 9RF England",5,"['Cambridge Heath', 'Bethnal Green', 'Rental Cars']"
172,Five Guys Named Moe,Suggested Duration Not Available,"Marble Arch Marble Arch Theatre, London W1C 1CX England",Ratings Not Available,"['Marble Arch', 'Bond St', 'Rental Cars']"
173,Up The Creek Comedy Club,Suggested Duration Not Available,"302 Creek Road Greenwich, London SE10 9SW England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
174,The Rose Theatre,Suggested Duration Not Available,"56 Park Street Bankside, London SE1 9AR England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
175,Polka Theatre for Children,Suggested Duration Not Available,"240 The Broadway Wimbledon, London SW19 1SB England",4.5,"['Morden', 'Putney Bridge', 'Rental Cars']"
176,St. John's Smith Square,Suggested Duration Not Available,"Smith Square, London SW1P 3HA England",4,"['Waterloo', 'Embankment', 'Rental Cars']"
177,Unicorn Theatre,Suggested Duration Not Available,"147 Tooley Street, London SE1 2HZ England",Ratings Not Available,"['London Bridge', 'Tower Hill', 'Rental Cars']"
178,Islington Assembly Hall,Suggested Duration Not Available,"Town Hall Upper Street, London N1 2UD England",Ratings Not Available,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
179,The Prince of Egypt Musical,Suggested Duration:2-3 hours,"268-269 Tottenham Court Road Dominion Theatre, London W1T 7AQ England",4,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
180,Shoot From The Hip,Suggested Duration:2-3 hours,"302 Creek Road, London SE10 9SW England",5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
181,Chickenshed Theatre,Suggested Duration:More than 3 hours,"290 Chase Side, London N14 4PE England",5,"['Cockfosters', 'Oakwood', 'Rental Cars']"
182,Annie the Musical,Suggested Duration Not Available,"16 Denman Street Piccadilly Theatre, London W1D 7DY England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
183,Queen Elizabeth Hall,Suggested Duration Not Available,"Belvedere Road, London SE1 8XX England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
184,The Piano Bar Soho,Suggested Duration:2-3 hours,"16 Carlisle Street Soho, London W1D 3BT England",4.5,"['Tottenham Court Road', 'Piccadilly Circus', 'Rental Cars']"
185,The Exhibit,Suggested Duration Not Available,"12 Balham Station Road, London SW12 9SG England",4,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
186,Dreamgirls,Suggested Duration Not Available,"Savoy Court Strand Savoy Theatre, London WC2R 0ET England",Ratings Not Available,"['Embankment', 'Covent Garden', 'Rental Cars']"
187,Battersea Arts Centre,Suggested Duration Not Available,"Lavender Hill, London SW11 5TN England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
188,Piccadilly Theater,Suggested Duration Not Available,"34 New House 67-68 Hatton Garden, London EC1N 8JY England",Ratings Not Available,"['Fairlop', 'Barkingside', 'Rental Cars']"
189,Everyman Cinemas Screen on the Green,Suggested Duration Not Available,"83 Upper Street Islington, London N1 0NP England",Ratings Not Available,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
190,The Scoop,Suggested Duration Not Available,"2A More London Riverside More London, London SE1 2DB England",Ratings Not Available,"['London Bridge', 'Tower Hill', 'Rental Cars']"
191,Chuckle Deli,Suggested Duration:2-3 hours,"The Lucas Arms 245A Gray's Inn Road, London WC1X 8QY England",5,"[""King's Cross St. Pancras"", 'Russell Square', 'Rental Cars']"
192,White Bear Theatre,Suggested Duration Not Available,"138 Kennington Park Road, London SE11 4DJ England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
193,The 42 Comedy Club,Suggested Duration:2-3 hours,"92 Stoke Newington High Street Fanny's Bar, London N16 7NY England",5,"['Rectory Road', 'Stoke Newington', 'Rental Cars']"
194,Rivoli Ballroom,Suggested Duration Not Available,"350 Brockley Road Crofton park, London SE4 2BY England",Ratings Not Available,"['Wapping', 'Canary Wharf', 'Rental Cars']"
195,Daylight Music,Suggested Duration:1-2 hours,"Union Chapel Compton Avenue, London N1 2XD England",5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
196,Seven Dials Comedy,Suggested Duration:2-3 hours,"42 Earlham Street Camden, London WC2H 9LA England",5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
197,The Drowned Man: A Hollywood Fable,Suggested Duration Not Available,"Temple Studios 31 London Street, London W2 1DJ England",Ratings Not Available,"['Paddington', 'Lancaster Gate', 'Rental Cars']"
198,Comedy Carnival Clapham,Suggested Duration Not Available,"15-16 Lendal Terrace, London SW4 7UX England",4.5,"['Waterloo', 'Hyde Park Corner', 'Rental Cars']"
199,Soho Comedy Club,Suggested Duration Not Available,"5-6 Leicester Square Casino at the Empire, London WC2H 7NA England",4.5,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
200,Brockley Jack Studio Theatre,Suggested Duration:1-2 hours,"410 Brockley Road, London SE4 2DH England",5,"['Wapping', 'Canary Wharf', 'Rental Cars']"
201,& Juliet,Suggested Duration Not Available,"210 Shaftesbury Avenue The Shaftesbury Theatre, London WC2H 8DP England",Ratings Not Available,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
202,Greenwich Theatre,Suggested Duration Not Available,"Crooms Hill, London SE10 8ES England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
203,Little Angel Theatre,Suggested Duration Not Available,"14 Dagmar Passage, London N1 2DN England",Ratings Not Available,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
204,London Wonderground,Suggested Duration Not Available,"South Bank, London SE1 England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
205,Rich Mix,Suggested Duration:2-3 hours,"35-47 Bethnal Green Road, London E1 6LA England",4,"['Shoreditch High St', 'Hoxton', 'Rental Cars']"
206,The Pheasantry,Suggested Duration:More than 3 hours,"152 Kings Road, London SW3 4UT England",4,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
207,Laugh Train Home at the Honor Oak Pub,Suggested Duration:2-3 hours,"1 St. German's Road The Honor Oak, London SE23 1RH England",5,"['Wapping', 'Canary Wharf', 'Rental Cars']"
208,The Vortex,Suggested Duration Not Available,"Unit 11 Stamford Works Gillett Street, London N16 8JH England",Ratings Not Available,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
209,Opera Holland Park,Suggested Duration Not Available,"Holland Park Kensington High St, London W8 6LU England",4.5,"['Holland Park', 'High St Kensington', 'Rental Cars']"
210,City Comedy Club,Suggested Duration:1-2 hours,"62 Rivington Street, London EC2A 3AY England",5,"['Shoreditch High St', 'Old St', 'Rental Cars']"
211,The Cockpit,Suggested Duration Not Available,"Gateforth Street Marylebone, London NW8 8EH England",Ratings Not Available,"['Marylebone', 'Edgware Road', 'Rental Cars']"
212,The London Theatre,Suggested Duration Not Available,"443 New Cross Road, London SE14 6TA England",4.5,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
213,Instant laughs,Suggested Duration:2-3 hours,"83 Hammersmith Grove The Grove bar and restaurant, London W6 0NQ England",4.5,"['Hammersmith', 'Hammersmith', 'Rental Cars']"
214,Millfield Theatre,Suggested Duration Not Available,"Silver Street, London N18 1PJ England",Ratings Not Available,"['Wood Green', 'Bounds Green', 'Rental Cars']"
215,The Turbine Theatre,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
216,Finborough Theatre,Suggested Duration Not Available,"118 Finborough Road, London SW10 9ED England",4.5,"['West Brompton', 'West Brompton', 'Rental Cars']"
217,Chapel Playhouse,Suggested Duration Not Available,"Headland House 308-312 Gray's Inn Road, London WC1X 8DP England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Russell Square', 'Rental Cars']"
218,Britten Theatre,Suggested Duration Not Available,"Prince Consort Road Royal College of Music, London SW7 2BS England",Ratings Not Available,"['Gloucester Road', 'High St Kensington', 'Rental Cars']"
219,Hampstead Jazz Club,Suggested Duration Not Available,"23-25 New End Hampstead, London NW3 1JD England",Ratings Not Available,"['South Hampstead', 'Hampstead', 'Rental Cars']"
220,The Sound Lounge,Suggested Duration:2-3 hours,"210-212 Upper Tooting Rd, London SW17 7EW England",5,"['Morden', 'Putney Bridge', 'Rental Cars']"
221,The Card Shark Show,Suggested Duration Not Available,"19-21 Great Marlborough Street The Theatre at The Courthouse Hotel London, London W1F 7HL England",Ratings Not Available,"['Oxford Circus', 'Piccadilly Circus', 'Rental Cars']"
222,Bush Theatre,Suggested Duration Not Available,"7 Uxbridge Road, London W12 8LJ England",Ratings Not Available,"[""Shepherd's Bush Market"", 'Goldhawk Road', 'Rental Cars']"
223,Secret Cellar,Suggested Duration:1-2 hours,"34 Lower Marsh Vaulty Towers, London SE1 7RG England",5,"['Waterloo', 'Southwark', 'Rental Cars']"
224,Upstairs at the Gate House,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
225,Bridewell Theatre,Suggested Duration Not Available,"Off New Bridge Street off Fleet Street 14 Bride Lane, London EC4Y 8EQ England",Ratings Not Available,"['Blackfriars', ""St. Paul's"", 'Rental Cars']"
226,Laugh Train Home Comedy Club,Suggested Duration:2-3 hours,"51 Lavender Gardens, London SW11 1DJ England",5,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
227,The Shaw Theatre,Suggested Duration Not Available,"100-110 Euston Road, London NW1 2AJ England",Ratings Not Available,"['Euston', 'London Euston', 'Rental Cars']"
228,The Bunker Theatre,Suggested Duration Not Available,"53a Southwark Street, London SE1 1RU England",Ratings Not Available,"['London Bridge', 'Southwark', 'Rental Cars']"
229,Notting Hill Coronet,Suggested Duration Not Available,"Notting Hill Gate, London England",4.5,"['Notting Hill Gate', 'Queensway', 'Rental Cars']"
230,The O2 arena,Suggested Duration Not Available,"Unit 4 Peninsula Square The O2, London SE10 0DX England",Ratings Not Available,"['North Greenwich', 'East India', 'Rental Cars']"
231,The Bob Hope Theatre,Suggested Duration Not Available,"Wythfield Road Eltham, London SE9 5TG England",Ratings Not Available,"['Woolwich Arsenal', 'King George V', 'Rental Cars']"
232,LSO St. Luke's,Suggested Duration Not Available,"161 Old Street, London EC1V 9NG England",Ratings Not Available,"['Old St', 'Barbican', 'Rental Cars']"
233,Institute of Contemporary Arts,Suggested Duration Not Available,"The Mall, London SW1Y 5AH England",4,"['Charing Cross', 'Piccadilly Circus', 'Rental Cars']"
234,The Stand-Up Club,Suggested Duration:2-3 hours,"The Comedy Pub, 7 Oxendon Street, London SW1Y 4EE England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
235,Riverside Studios,Suggested Duration:More than 3 hours,"101 Queen Caroline Street Hammersmith, London W6 9BN England",4.5,"['Hammersmith', 'Hammersmith', 'Rental Cars']"
236,Hoxton Hall,Suggested Duration Not Available,"130 Hoxton Street, London N1 6SH England",Ratings Not Available,"['Hoxton', 'Haggerston', 'Rental Cars']"
237,Union Theatre,Suggested Duration Not Available,"Old Union Yard Arches 229 Union Street Old Union Arches, London SE1 0LR England",Ratings Not Available,"['Southwark', 'Waterloo', 'Rental Cars']"
238,Oliver's,Suggested Duration Not Available,"9 Nevada Street, London SE10 9JL England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
239,Jazz Cafe Posk,Suggested Duration:More than 3 hours,"238-246 King Street Hammersmith, London W6 0RF England",4.5,"['Ravenscourt Park', 'Stamford Brook', 'Rental Cars']"
240,Le QuecumBar & Brasserie,Suggested Duration:More than 3 hours,"42-44 Battersea High Street, London SW11 3HX England",4,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
241,The Tabernacle,Suggested Duration:1-2 hours,"The Tabernacle 34-35 Powis Square, London W11 2AY England",4,"['Westbourne Park', 'Ladbroke Grove', 'Rental Cars']"
242,Old Red Lion Theatre,Suggested Duration Not Available,"418 St. John Street, London EC1V 4NJ England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Farringdon', 'Rental Cars']"
243,Jamboree,Suggested Duration Not Available,"Studios Courtyard 566 Cable Street Limehouse, London E1W 3HB England",Ratings Not Available,"['Limehouse', 'Beckton Park', 'Rental Cars']"
244,229 The Venue,Suggested Duration Not Available,"229 Great Portland Street, London W1W 5PN England",Ratings Not Available,"['Great Portland St', ""Regent's Park"", 'Rental Cars']"
245,Globe Theatre,Suggested Duration Not Available,London England,Ratings Not Available,"['Mansion House', 'Blackfriars', 'Rental Cars']"
246,A Complete History of London Show,Suggested Duration Not Available,"Draft House 206 - 208 Tower Bridge Road, London SE1 2UP England",4.5,"['Gallions Reach', 'Tower Hill', 'Rental Cars']"
247,Backyard Comedy Club,Suggested Duration:More than 3 hours,"231 Cambridge Heath Rd, London E2 0EL England",4,"['Bethnal Green', 'Bethnal Green', 'Rental Cars']"
248,Canal Cafe Theatre,Suggested Duration Not Available,"Bridge House Delamere Terrace Little Venice, London W2 6ND England",Ratings Not Available,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
249,I Can't Sing! - London Theatreland,Suggested Duration Not Available,"8 Argyll Street, London W1F 7TF England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
250,Landor Theatre,Suggested Duration Not Available,"Landor Rd Clapham North, London England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
251,Conjuring at the Court,Suggested Duration:1-2 hours,"Drayton Court 2, London W13 8PH England",5,"['Ealing Broadway', 'Northfields', 'Rental Cars']"
252,Headliners Comedy Club,Suggested Duration Not Available,"183 Chiswick High Road, London W4 2DR England",Ratings Not Available,"['Turnham Green', 'Chiswick Park', 'Rental Cars']"
253,Puppet Theatre Barge,Suggested Duration:1-2 hours,"Blomfield Road Little Venice, London W9 2PF England",4.5,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
254,The Ladykillers,Suggested Duration Not Available,"404 Strand, London WC2R 0NH England",Ratings Not Available,"['Covent Garden', 'Embankment', 'Rental Cars']"
255,JW3 Jewish Community Centre London,Suggested Duration Not Available,"341-351 Finchley Road, London NW3 6ET England",Ratings Not Available,"['Finchley Road & Frognal', 'Finchley Road', 'Rental Cars']"
256,The London Improv Theatre,Suggested Duration:2-3 hours,"104-A Finchley Road West Hampstead, London NW3 5JJ England",4.5,"['Finchley Road', 'Swiss Cottage', 'Rental Cars']"
257,The Grand,Suggested Duration Not Available,"21-25 St. John's Hill Clapham Junction, London SW11 1TT England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
258,Immersive Gatsby,Suggested Duration Not Available,"84 Long Lane, London SE1 4AU England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
259,OMEARA,Suggested Duration Not Available,"6 O'Meara Street, London SE1 1TE England",4,"['London Bridge', 'Southwark', 'Rental Cars']"
260,Sands Films Cinema Club and Theatre,Suggested Duration:2-3 hours,"82 St. Marychurch Street, London SE16 4HZ England",5,"['Wapping', 'Beckton Park', 'Rental Cars']"
261,The Bloomsbury Theatre,Suggested Duration Not Available,"15 Gordon Street, London WC1H 0AH England",Ratings Not Available,"['Euston Square', 'Euston', 'Rental Cars']"
262,EartH Evolutionary Arts Hackney,Suggested Duration:More than 3 hours,"11-17 Stoke Newington Road, London N16 8BH England",4,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
263,Omnibus Theatre,Suggested Duration Not Available,"1 Clapham Common North Side, London SW4 0QW England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
264,The Questors Theatre,Suggested Duration:2-3 hours,"12 Mattock Lane Ealing, London W5 5BQ England",5,"['Ealing Broadway', 'South Ealing', 'Rental Cars']"
265,Cine Lumiere,Suggested Duration Not Available,Address Not Available,4.5,[]
266,Rubber Shark Comedy,Suggested Duration Not Available,"34 Thurloe Place The Hoop & Toy, London SW7 2HQ England",Ratings Not Available,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
267,JuandeMagic,Suggested Duration:1-2 hours,"Convent Garden, London WC2H 9HD England",5,"['Covent Garden', 'Tottenham Court Road', 'Rental Cars']"
268,Household Division,Suggested Duration Not Available,"HQ Household Division Horse Guards, Whitehall, London SW1A 2AX England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
269,ICA Cinema,Suggested Duration Not Available,"The Mall, SW1 5AH, London England",4,"['Richmond', 'Richmond', 'Rental Cars']"
270,English National Opera,Suggested Duration Not Available,"London Coliseum St. Martin's Lane, London WC2N 4ES England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
271,The Drayton Arms Theatre,Suggested Duration:2-3 hours,"153 Old Brompton Road, London SW5 0LJ England",4.5,"['Gloucester Road', ""Earl's Court"", 'Rental Cars']"
272,Hester's Hideout,Suggested Duration:2-3 hours,"2 Exmouth Market Basement, London EC1R 4PX England",4.5,"['Farringdon', 'Chancery Lane', 'Rental Cars']"
273,The Poodle Club,Suggested Duration Not Available,"167 Sydenham Rd, London, London SE26 5HB England",Ratings Not Available,[]
274,Vauxhall Comedy Club,Suggested Duration:1-2 hours,"6 South Lambeth Place, London SW8 1SP England",5,"['Waterloo', 'Embankment', 'Rental Cars']"
275,Shoreditch Town Hall,Suggested Duration:2-3 hours,"380 Old Street, London EC1V 9LT England",4,"['Shoreditch High St', 'Hoxton', 'Rental Cars']"
276,Merrily We Roll Along,Suggested Duration Not Available,"Panton St, London England",Ratings Not Available,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
277,StraightUp Comedy,Suggested Duration:2-3 hours,"70 Landor Road, London SW9 9PH England",5,"['Waterloo', 'Southwark', 'Rental Cars']"
278,Iris Theatre,Suggested Duration Not Available,"Bedford Street Covent Garden, London WC2E 9ED England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
279,DeadSet Comedy,Suggested Duration:2-3 hours,"24 Craven Terrace Old Mary's, London W2 3QH England",5,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
280,Colab Factory,Suggested Duration:1-2 hours,"74 Long Lane, London SE1 4AU England",4,"['London Bridge', 'Monument', 'Rental Cars']"
281,Troxy,Suggested Duration Not Available,"490 Commercial Road near Limehouse Docklands Light Railway station, London E1 0HX England",3.5,"['Limehouse', 'Shadwell', 'Rental Cars']"
282,The Place,Suggested Duration Not Available,"17 Duke's Rd., WC1 Kings Cross & Euston Stations, London WC1H 9PY England",4.5,"['Euston', 'London Euston', 'Rental Cars']"
283,Alternative Arts,Suggested Duration Not Available,"47A Brushfield Street, London E1 6AA England",5,"['Liverpool St', 'London Liverpool St', 'Rental Cars']"
284,Upstairs at The Gatehouse,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
285,The 99 Club - Ku Bar,Suggested Duration Not Available,"30 Lisle Street Ku Bar, London WC2H 7BA England",Ratings Not Available,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
286,Goosebumps Alive,Suggested Duration Not Available,"Leake Street The Vaults, London SE1 7NN England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
287,Covent Garden Social Club,Suggested Duration:2-3 hours,"6-7 Great Newport Street, London WC2H 7JB England",4,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
288,Blackheath Halls,Suggested Duration Not Available,"23 Lee Road, London SE3 9RQ England",4.5,"['North Greenwich', 'Pontoon Dock', 'Rental Cars']"
289,El Carnaval de la Comedia,Suggested Duration Not Available,"21-25 St. John's Hill Clapham, London SW11 1TT England",4,"['Parsons Green', 'Fulham Broadway', 'Rental Cars']"
290,SingEasy West-End,Suggested Duration:More than 3 hours,"Clareville House 47 Whitcomb Street, London WC2H 7DH England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
291,Tara Arts,Suggested Duration:2-3 hours,"356 Garratt Lane Earlsfield, London SW18 4ES England",4.5,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
292,Comedy Cabin,Suggested Duration:2-3 hours,"132 Kingsland Road, London E2 8DP England",5,"['Hoxton', 'Shoreditch High St', 'Rental Cars']"
293,Gatehouse Theatre,Suggested Duration Not Available,"1 North Road Highgate Village, London N6 4BD England",Ratings Not Available,"['Highgate', 'Archway', 'Rental Cars']"
294,Pentameters Theatre,Suggested Duration Not Available,"28 Heath Street, London NW3 6TE England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
295,Kansas Smitty's,Suggested Duration Not Available,"63-65 Broadway Market, London E8 4PH England",Ratings Not Available,"['London Fields', 'Cambridge Heath', 'Rental Cars']"
296,Stand Up London Comedy Club,Suggested Duration:2-3 hours,"57-59 Endell Street, London WC2H 9AJ England",4,"['Covent Garden', 'Tottenham Court Road', 'Rental Cars']"
297,The Hope Theatre,Suggested Duration Not Available,"207 Upper Street Islington, London N1 1RL England",4.5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
298,Servant Jazz Quarters,Suggested Duration Not Available,"10A Bradbury Street, London N16 8JN England",4,"['Dalston Junction', 'Dalston Kingsland', 'Rental Cars']"
299,Comedy Cafe Theatre,Suggested Duration:2-3 hours,"100 Shoreditch High Street Ace Hotel, London E1 6JQ England",3.5,"['Shoreditch High St', 'Old St', 'Rental Cars']"
300,OSO Arts Centre,Suggested Duration Not Available,"49 Station Road Situated on Barnes Green behind Cote, London SW13 0LF England",5,"['Stamford Brook', 'Ravenscourt Park', 'Rental Cars']"
301,Dorfman Theatre,Suggested Duration Not Available,"Stage Door Avenue Opposite the IBM Building, London SE1 9PX England",Ratings Not Available,"['Waterloo', 'Temple', 'Rental Cars']"
302,England's Smallest Comedy Club,Suggested Duration:2-3 hours,"1 D'Arblay Street Upstairs at The George Bar, London W1F 8DG England",5,"['Tottenham Court Road', 'Oxford Circus', 'Rental Cars']"
303,King's Head,Suggested Duration Not Available,"Islington High Street, London England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Caledonian Road & Barnsbury', 'Rental Cars']"
304,Blues in the Basement,Suggested Duration:2-3 hours,"7 Oxendon Street Downstairs Comedy Pub, London SW1Y 4EE England",5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
305,Tristan Bates Theatre,Suggested Duration Not Available,"1A Tower Street Covent Garden, London WC2H 9NP England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
306,2Northdown,Suggested Duration Not Available,"2 Northdown Street, London N1 9BG England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Russell Square', 'Rental Cars']"
307,The Parrot,Suggested Duration:2-3 hours,"The Waldorf Hilton, Aldwych, London WC2B 4DD England",3.5,"['Temple', 'Covent Garden', 'Rental Cars']"
308,Cervantes Theatre,Suggested Duration:2-3 hours,"Old Union Yard Arches 229 Union Street Arch 26 Old Union Street Arches, London SE1 0LR England",5,"['Southwark', 'Waterloo', 'Rental Cars']"
309,Jester Jesters Monday Nights,Suggested Duration Not Available,"56 Farringdon Road The Betsey Trotwood, London EC1R 3BL England",Ratings Not Available,"['Farringdon', 'Chancery Lane', 'Rental Cars']"
310,The Playground Theatre,Suggested Duration Not Available,"343-453 Latimer Rd Unit 8, Latimer Industrial Estate, London W10 6RQ England",Ratings Not Available,"['Wood Lane', 'Latimer Road', 'Rental Cars']"
311,Waterloo East Theatre,Suggested Duration Not Available,"Brad Street, London SE1 8TN England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
312,The Passion Play,Suggested Duration Not Available,"Theatre Duke of York 805 Commercial Road, London E14 7HG England",Ratings Not Available,"['Custom House for Excel', 'Westferry', 'Rental Cars']"
313,You Me Bum Bum Train,Suggested Duration Not Available,"111 Charing Cross Road, London WC2H 0DT England",Ratings Not Available,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
314,Philharmonia Orchestra,Suggested Duration Not Available,"6 Chancel Street, London SE1 0UX England",Ratings Not Available,"['Southwark', 'Blackfriars', 'Rental Cars']"
315,New Diorama Theatre,Suggested Duration Not Available,"15-16 Triton Street Regents Place, London NW1 3BF England",Ratings Not Available,"['Great Portland St', 'Warren St', 'Rental Cars']"
316,Piccadilly Comedy Club London,Suggested Duration Not Available,"Pub 7 Oxendon Street, London SW1Y 4EE England",3.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
317,Conway Hall,Suggested Duration Not Available,"Conway Hall 25 Red Lion Square, London WC1R 4RL England",Ratings Not Available,"['Holborn', 'Russell Square', 'Rental Cars']"
318,Gate Theatre,Suggested Duration:1-2 hours,"11 Pembridge Road Notting Hill Gate, London W11 3HQ England",4.5,"['Notting Hill Gate', 'Holland Park', 'Rental Cars']"
319,Jetway Comedy,Suggested Duration:1-2 hours,"34 Thurloe Place Hoop & Toy, London SW7 2HQ England",5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
320,Madame Jo Jo's,Suggested Duration Not Available,"8-10 Brewer Street, London W1F 0SE England",3,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
321,Jester Jesters Raconteurs,Suggested Duration Not Available,"86 Junction Road Oak & Pastor, London N19 5QZ England",Ratings Not Available,"['Archway', 'Upper Holloway', 'Rental Cars']"
322,Rudolf Steiner House,Suggested Duration Not Available,"Rudolf Steiner House 35 Park Road, London NW1 6XT England",Ratings Not Available,"['Baker St', 'Marylebone', 'Rental Cars']"
323,Milton Court Concert Hall,Suggested Duration Not Available,"Silk Street, London EC2Y 9BH England",Ratings Not Available,"['Moorgate', 'Barbican', 'Rental Cars']"
324,The Jerk Store,Suggested Duration:1-2 hours,"46A De Beauvoir Crescent, London N1 5RY England",5,"['Haggerston', 'Hoxton', 'Rental Cars']"
325,Always Be Comedy,Suggested Duration:2-3 hours,"185 Kennington Lane Kennington, London SE11 4EZ England",5,"['Waterloo', 'Southwark', 'Rental Cars']"
326,Blue Man Group,Suggested Duration Not Available,"New London Theatre Drury Lane, Covent Garden, London England",Ratings Not Available,"['Covent Garden', 'Holborn', 'Rental Cars']"
327,Rosemary Branch Theatre & Pub,Suggested Duration Not Available,"2 Shepperton Road, London N1 3DT England",Ratings Not Available,"['Haggerston', 'Hoxton', 'Rental Cars']"
328,Livewired Comedy Improvisation,Suggested Duration:2-3 hours,"104-A Finchley Road, London NW3 5JJ England",5,"['Finchley Road', 'Swiss Cottage', 'Rental Cars']"
329,Forge Music and Arts Venue,Suggested Duration:More than 3 hours,"3-7 Delancey Street, London NW1 7NL England",3.5,"['Camden Town', 'Mornington Crescent', 'Rental Cars']"
